minimum m,c is 1.220000,25.850000 with error 10.258553,,533677713
Time elapsed was 533677713ns or 0.533677713s,,,,497165849
minimum m,c is 1.220000,25.850000 with error 10.258553,,530620511
Time elapsed was 497165849ns or 0.497165849s,,,,500884727
minimum m,c is 1.220000,25.850000 with error 10.258553,,507385704
Time elapsed was 530620511ns or 0.530620511s,,,,504766999
minimum m,c is 1.220000,25.850000 with error 10.258553,,496495419
Time elapsed was 500884727ns or 0.500884727s,,,,500550201
minimum m,c is 1.220000,25.850000 with error 10.258553,,494680922
Time elapsed was 507385704ns or 0.507385704s,,,,491412735
minimum m,c is 1.220000,25.850000 with error 10.258553,,
Time elapsed was 504766999ns or 0.504766999s,,,,505764078
minimum m,c is 1.220000,25.850000 with error 10.258553,,
Time elapsed was 496495419ns or 0.496495419s,,,,
minimum m,c is 1.220000,25.850000 with error 10.258553,,
Time elapsed was 500550201ns or 0.500550201s,,,,
minimum m,c is 1.220000,25.850000 with error 10.258553,,
Time elapsed was 494680922ns or 0.494680922s,,,,
minimum m,c is 1.220000,25.850000 with error 10.258553,,
Time elapsed was 491412735ns or 0.491412735s,,,,
